Date,Problem Name,Pattern,Difficulty,LeetCode Link,Interview Frequency,Time Taken (min),First Attempt,Solution Approach,Time Complexity,Space Complexity,Review Date 1,Review Date 2,Confidence (1-10),Notes
,All Paths From Source to Target,Graphs,Medium,https://leetcode.com/problems/all-paths-from-source-to-target/,★★★☆☆,,,,,,,,,"DFS backtracking"
,Find if Path Exists in Graph,Graphs,Easy,https://leetcode.com/problems/find-if-path-exists-in-graph/,★★★☆☆,,,,,,,,,"DFS or BFS traversal"
,Minimum Number of Vertices to Reach All Nodes,Graphs,Medium,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes/,★★★☆☆,,,,,,,,,"Find nodes with no incoming edges"
,Is Graph Bipartite,Graphs,Medium,https://leetcode.com/problems/is-graph-bipartite/,★★★★☆,,,,,,,,,"DFS/BFS with 2-coloring"
,Redundant Connection,Graphs,Medium,https://leetcode.com/problems/redundant-connection/,★★★★☆,,,,,,,,,"Union-Find to detect cycle"
,Min Cost to Connect All Points,Graphs,Medium,https://leetcode.com/problems/min-cost-to-connect-all-points/,★★★★☆,,,,,,,,,"Minimum Spanning Tree (Prim's)"
,Evaluate Division,Graphs,Medium,https://leetcode.com/problems/evaluate-division/,★★★★☆,,,,,,,,,"Weighted graph DFS"
,Minimum Path Sum,Dynamic Programming,Medium,https://leetcode.com/problems/minimum-path-sum/,★★★★★,,,,,,,,,"2D DP grid traversal"
,Unique Paths,Dynamic Programming,Medium,https://leetcode.com/problems/unique-paths/,★★★★★,,,,,,,,,"2D DP or combinatorics"
,Unique Paths II,Dynamic Programming,Medium,https://leetcode.com/problems/unique-paths-ii/,★★★★☆,,,,,,,,,"2D DP with obstacles"
,Edit Distance,Dynamic Programming,Hard,https://leetcode.com/problems/edit-distance/,★★★★★,,,,,,,,,"2D DP string transformation"
,Maximum Product Subarray,Dynamic Programming,Medium,https://leetcode.com/problems/maximum-product-subarray/,★★★★★,,,,,,,,,"Track min and max products"
,Target Sum,Dynamic Programming,Medium,https://leetcode.com/problems/target-sum/,★★★★☆,,,,,,,,,"DP or backtracking"
,Partition Equal Subset Sum,Dynamic Programming,Medium,https://leetcode.com/problems/partition-equal-subset-sum/,★★★★★,,,,,,,,,"0/1 Knapsack variant"
,Perfect Squares,Dynamic Programming,Medium,https://leetcode.com/problems/perfect-squares/,★★★★☆,,,,,,,,,"Unbounded knapsack"
,Maximal Square,Dynamic Programming,Medium,https://leetcode.com/problems/maximal-square/,★★★★☆,,,,,,,,,"2D DP for largest square"
,Regular Expression Matching,Dynamic Programming,Hard,https://leetcode.com/problems/regular-expression-matching/,★★★★☆,,,,,,,,,"2D DP with wildcards"
,Interleaving String,Dynamic Programming,Medium,https://leetcode.com/problems/interleaving-string/,★★★☆☆,,,,,,,,,"2D DP string merging"
,Wiggle Subsequence,Dynamic Programming,Medium,https://leetcode.com/problems/wiggle-subsequence/,★★★☆☆,,,,,,,,,"Track increasing/decreasing"
,Russian Doll Envelopes,Dynamic Programming,Hard,https://leetcode.com/problems/russian-doll-envelopes/,★★★☆☆,,,,,,,,,"2D LIS with sorting"
,Burst Balloons,Dynamic Programming,Hard,https://leetcode.com/problems/burst-balloons/,★★★☆☆,,,,,,,,,"Interval DP"
,Minimum Window Subsequence,Intervals,Hard,https://leetcode.com/problems/minimum-window-subsequence/,★★★☆☆,,,,,,,,,"Two pointers on strings"
,Interval List Intersections,Intervals,Medium,https://leetcode.com/problems/interval-list-intersections/,★★★★☆,,,,,,,,,"Two pointers on intervals"
,Remove Covered Intervals,Intervals,Medium,https://leetcode.com/problems/remove-covered-intervals/,★★★☆☆,,,,,,,,,"Sort and compare intervals"
,Maximum Length of Pair Chain,Greedy,Medium,https://leetcode.com/problems/maximum-length-of-pair-chain/,★★★☆☆,,,,,,,,,"Greedy interval scheduling"
,Assign Cookies,Greedy,Easy,https://leetcode.com/problems/assign-cookies/,★★★☆☆,,,,,,,,,"Sort and greedy matching"
,Queue Reconstruction by Height,Greedy,Medium,https://leetcode.com/problems/queue-reconstruction-by-height/,★★★★☆,,,,,,,,,"Sort by height then insert by position"
,Minimum Number of Taps,Greedy,Hard,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/,★★★☆☆,,,,,,,,,"Greedy interval covering"
,Lemonade Change,Greedy,Easy,https://leetcode.com/problems/lemonade-change/,★★★☆☆,,,,,,,,,"Greedy change making"
,Non-decreasing Array,Greedy,Medium,https://leetcode.com/problems/non-decreasing-array/,★★★☆☆,,,,,,,,,"Greedy with modification count"
,Minimum Deletions to Make Character Frequencies Unique,Greedy,Medium,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/,★★★☆☆,,,,,,,,,"Greedy frequency adjustment"
,Power of Two,Bit Manipulation,Easy,https://leetcode.com/problems/power-of-two/,★★★★☆,,,,,,,,,"Check if only one bit set"
,Power of Four,Bit Manipulation,Easy,https://leetcode.com/problems/power-of-four/,★★★☆☆,,,,,,,,,"Power of 2 + position check"
,Hamming Distance,Bit Manipulation,Easy,https://leetcode.com/problems/hamming-distance/,★★★★☆,,,,,,,,,"XOR + count bits"
,Total Hamming Distance,Bit Manipulation,Medium,https://leetcode.com/problems/total-hamming-distance/,★★★☆☆,,,,,,,,,"Bit by bit counting"
,Gray Code,Bit Manipulation,Medium,https://leetcode.com/problems/gray-code/,★★★☆☆,,,,,,,,,"Recursive bit pattern"
,Divide Two Integers,Bit Manipulation,Medium,https://leetcode.com/problems/divide-two-integers/,★★★★☆,,,,,,,,,"Bit shifting for division"
